unixtime,mouseX,mouseY,collision,mode
201710101344261098,0,0,0,mode0
201710101344261132,472,662,0,mode0
201710101344261149,466,655,0,mode0
201710101344261167,465,652,0,mode0
201710101344261182,460,648,0,mode0
201710101344261199,457,646,0,mode0
201710101344261216,457,646,0,mode0
201710101344261233,457,646,0,mode0
201710101344261252,457,645,0,mode0
201710101344261269,457,645,0,mode0
201710101344261290,457,645,0,mode0
201710101344261306,457,645,0,mode0
201710101344261324,457,645,0,mode0
201710101344261340,456,645,0,mode0
201710101344261358,455,645,0,mode0
201710101344261375,448,642,0,mode0
201710101344261392,438,638,0,mode0
201710101344261409,417,629,0,mode0
201710101344261426,409,624,0,mode0
201710101344261443,363,598,0,mode0
201710101344261460,358,593,0,mode0
201710101344261477,336,568,0,mode0
201710101344271495,318,546,0,mode0
201710101344271512,299,521,0,mode0
201710101344271529,291,508,0,mode0
201710101344271551,288,505,0,mode0
201710101344271568,284,492,0,mode0
201710101344271586,278,463,0,mode0
201710101344271608,275,458,0,mode0
201710101344271626,272,436,0,mode0
201710101344271649,271,416,1,mode0
201710101344271670,271,403,1,mode0
201710101344271686,271,399,1,mode0
201710101344271703,271,399,1,mode0
201710101344271721,271,399,1,mode0
201710101344271739,271,399,1,mode0
201710101344271759,280,399,1,mode0
201710101344271776,296,403,1,mode0
201710101344271797,300,405,1,mode0
201710101344271820,317,411,1,mode0
201710101344271841,339,417,1,mode0
201710101344271858,364,427,1,mode0
201710101344271876,383,435,2,mode0
201710101344271896,404,444,2,mode0
201710101344271914,426,457,2,mode0
201710101344271932,446,471,2,mode0
201710101344271954,479,493,2,mode0
201710101344271972,516,515,2,mode0
201710101344271989,525,521,2,mode0
201710101344272005,555,535,2,mode0
201710101344272029,574,545,2,mode0
201710101344272045,620,566,2,mode0
201710101344272063,628,571,3,mode0
201710101344272086,667,584,3,mode0
201710101344272103,704,597,4,mode0
201710101344272129,734,602,4,mode0
201710101344272146,756,606,4,mode0
201710101344272163,786,609,4,mode0
201710101344272181,817,614,4,mode0
201710101344272197,841,618,4,mode0
201710101344272215,851,621,4,mode0
201710101344272230,895,634,4,mode0
201710101344272247,934,651,4,mode0
201710101344272271,997,677,5,mode0
201710101344272296,1050,700,5,mode0
201710101344272312,1083,715,5,mode0
201710101344272328,1105,724,5,mode0
201710101344272345,1120,731,5,mode0
201710101344272361,1129,734,5,mode0
201710101344272378,1154,742,5,mode0
201710101344272394,1180,747,5,mode0
201710101344272411,1196,753,5,mode0
201710101344272428,1209,755,5,mode0
201710101344272445,1220,758,5,mode0
201710101344272462,1226,761,5,mode0
201710101344272478,1251,771,6,mode0
201710101344282498,1281,783,6,mode0
201710101344282516,1300,793,6,mode0
201710101344282532,1324,806,6,mode0
201710101344282549,1329,808,6,mode0
201710101344282565,1341,815,6,mode0
201710101344282581,1344,817,6,mode0
201710101344282599,1347,820,6,mode0
201710101344282616,1348,820,6,mode0
201710101344282633,1348,823,6,mode0
201710101344282651,1347,824,6,mode0
201710101344282666,1337,827,6,mode0
201710101344282683,1321,829,6,mode0
201710101344282700,1315,829,6,mode0
201710101344282715,1278,830,6,mode0
201710101344282733,1248,827,6,mode0
201710101344282750,1209,815,6,mode0
201710101344282767,1165,793,6,mode0
201710101344282783,1140,772,6,mode0
201710101344282800,1131,766,6,mode0
201710101344282818,1110,742,6,mode0
201710101344282834,1096,712,6,mode0
201710101344282851,1092,690,6,mode0
201710101344282868,1088,670,7,mode0
201710101344282894,1086,661,7,mode0
201710101344282911,1083,656,7,mode0
201710101344282930,1077,651,7,mode0
201710101344282945,1070,649,7,mode0
201710101344282963,1068,648,7,mode0
201710101344282978,1063,648,7,mode0
201710101344282996,1053,647,7,mode0
201710101344283012,1047,647,7,mode0
201710101344283029,993,632,7,mode0
201710101344283046,977,629,7,mode0
201710101344283063,923,615,7,mode0
201710101344283079,881,603,7,mode0
201710101344283096,797,586,7,mode0
201710101344283112,770,580,7,mode0
201710101344283129,684,559,7,mode0
201710101344283146,626,548,7,mode0
201710101344283164,564,538,7,mode0
201710101344283181,551,534,7,mode0
201710101344283198,528,529,7,mode0
201710101344283214,526,529,7,mode0
201710101344283232,517,527,8,mode0
201710101344283253,504,523,8,mode0
201710101344283271,496,520,8,mode0
201710101344283287,484,515,8,mode0
201710101344283304,479,513,8,mode0
201710101344283321,444,494,8,mode0
201710101344283339,440,492,8,mode0
201710101344283356,432,488,8,mode0
201710101344283373,431,488,8,mode0
201710101344283389,431,488,8,mode0
201710101344283407,431,488,8,mode0
201710101344283423,438,492,8,mode0
201710101344283440,460,508,8,mode0
201710101344283457,499,539,8,mode0
201710101344283475,515,548,8,mode0
201710101344293492,578,580,8,mode0
201710101344293508,650,609,8,mode0
201710101344293531,660,613,8,mode0
201710101344293546,691,626,8,mode0
201710101344293564,698,628,8,mode0
201710101344293581,700,631,8,mode0
201710101344293597,703,635,8,mode0
201710101344293614,707,641,8,mode0
201710101344293630,709,646,8,mode0
201710101344293648,721,658,8,mode0
