unixtime,mouseX,mouseY,collision,mode
201710102226063278,0,0,0,mode0
201710102226063372,756,393,0,mode0
201710102226063393,745,401,0,mode0
201710102226073416,706,423,0,mode0
201710102226073430,668,442,0,mode0
201710102226073459,638,457,0,mode0
201710102226073479,589,481,0,mode0
201710102226073497,570,490,0,mode0
201710102226073515,558,495,0,mode0
201710102226073535,550,498,0,mode0
201710102226073554,547,498,0,mode0
201710102226073571,547,498,0,mode0
201710102226073590,547,498,0,mode0
201710102226073607,547,498,0,mode0
201710102226073626,547,498,0,mode0
201710102226073642,547,498,0,mode0
201710102226073662,547,498,0,mode0
201710102226073683,547,498,0,mode0
201710102226073701,547,498,0,mode0
201710102226073726,547,498,0,mode0
201710102226073741,547,498,0,mode0
201710102226073759,547,498,0,mode0
201710102226073776,547,498,0,mode0
201710102226073799,547,498,0,mode0
201710102226073829,547,498,0,mode0
201710102226073852,547,498,0,mode0
201710102226073870,547,498,0,mode0
201710102226073885,547,498,0,mode0
201710102226073903,547,498,0,mode0
201710102226073921,547,498,0,mode0
201710102226073937,547,498,0,mode0
201710102226073952,547,498,0,mode0
201710102226073969,547,498,0,mode0
201710102226073992,547,498,0,mode0
201710102226074006,549,497,0,mode0
201710102226074032,554,494,0,mode0
201710102226074050,567,487,1,mode0
201710102226074071,579,481,1,mode0
201710102226074087,586,479,1,mode0
201710102226074110,591,478,1,mode0
201710102226074125,597,477,1,mode0
201710102226074144,599,476,1,mode0
201710102226074164,600,476,1,mode0
201710102226074185,601,476,1,mode0
201710102226074204,602,476,1,mode0
201710102226074223,602,476,1,mode0
201710102226074242,602,476,1,mode0
201710102226074263,602,476,1,mode0
201710102226074282,602,476,1,mode0
201710102226074302,602,476,1,mode0
201710102226074322,602,476,1,mode0
201710102226074342,602,476,1,mode0
201710102226074362,602,476,1,mode0
201710102226074384,602,476,1,mode0
201710102226074405,602,476,1,mode0
201710102226084423,602,476,1,mode0
201710102226084441,602,476,1,mode0
201710102226084467,602,476,1,mode0
201710102226084487,602,476,1,mode0
201710102226084508,602,476,1,mode0
201710102226084531,602,476,1,mode0
201710102226084550,602,476,1,mode0
201710102226084570,602,476,1,mode0
201710102226084589,602,476,1,mode0
201710102226084608,602,476,1,mode0
201710102226084634,599,476,1,mode0
201710102226084656,592,476,1,mode0
201710102226084685,571,476,1,mode0
201710102226084703,517,476,1,mode0
201710102226084720,486,476,1,mode0
201710102226084738,469,477,1,mode0
201710102226084756,434,479,1,mode0
201710102226084773,412,480,1,mode0
201710102226084797,397,480,1,mode0
201710102226084822,386,480,1,mode0
201710102226084842,381,477,1,mode0
201710102226084866,379,474,1,mode0
201710102226084883,378,473,1,mode0
201710102226084898,376,470,1,mode0
201710102226084919,374,468,1,mode0
201710102226084937,373,468,1,mode0
201710102226084955,370,467,1,mode0
201710102226084975,364,466,1,mode0
201710102226085000,360,466,1,mode0
201710102226085024,343,466,1,mode0
201710102226085045,318,466,1,mode0
201710102226085059,304,466,1,mode0
201710102226085077,295,466,1,mode0
201710102226085098,286,466,1,mode0
201710102226085121,278,466,1,mode0
201710102226085142,277,466,1,mode0
201710102226085157,275,466,1,mode0
201710102226085174,275,466,1,mode0
201710102226085192,275,466,1,mode0
201710102226085212,275,466,1,mode0
201710102226085232,275,466,1,mode0
201710102226085251,275,466,1,mode0
201710102226085268,275,466,1,mode0
201710102226085287,275,466,1,mode0
201710102226085307,275,466,1,mode0
201710102226085319,275,466,1,mode0
201710102226085340,275,466,1,mode0
201710102226085353,275,466,1,mode0
201710102226085371,275,466,1,mode0
201710102226085388,275,466,1,mode0
201710102226085403,275,466,1,mode0
201710102226095422,275,466,1,mode0
201710102226095442,275,466,1,mode0
201710102226095456,275,466,1,mode0
201710102226095474,275,466,1,mode0
201710102226095490,275,466,1,mode0
201710102226095510,275,466,1,mode0
201710102226095532,275,466,1,mode0
201710102226095549,275,466,2,mode0
201710102226095580,275,466,2,mode0
201710102226095600,275,466,2,mode0
201710102226095620,275,466,2,mode0
201710102226095638,275,466,2,mode0
201710102226095662,278,465,2,mode0
201710102226095681,283,463,2,mode0
201710102226095702,296,461,2,mode0
201710102226095720,299,461,2,mode0
201710102226095744,312,461,3,mode0
201710102226095786,330,466,3,mode0
201710102226095811,356,483,3,mode0
201710102226095826,389,510,3,mode0
201710102226095847,399,518,3,mode0
201710102226095871,405,523,3,mode0
201710102226095891,413,529,3,mode0
201710102226095906,426,537,3,mode0
201710102226095929,433,540,3,mode0
201710102226095951,438,543,3,mode0
201710102226095971,447,546,3,mode0
201710102226095993,449,546,3,mode0
201710102226096012,449,546,3,mode0
201710102226096031,449,546,3,mode0
201710102226096051,449,546,3,mode0
201710102226096070,449,546,3,mode0
201710102226096088,449,546,3,mode0
201710102226096103,449,546,3,mode0
201710102226096122,449,546,3,mode0
201710102226096138,449,546,3,mode0
201710102226096154,449,546,3,mode0
201710102226096170,449,546,3,mode0
201710102226096186,449,546,3,mode0
201710102226096202,449,546,3,mode0
201710102226096220,449,546,3,mode0
201710102226096237,449,546,3,mode0
201710102226096254,449,546,3,mode0
201710102226096271,456,547,3,mode0
201710102226096288,473,555,3,mode0
201710102226096304,516,578,3,mode0
201710102226096323,550,599,3,mode0
201710102226096342,592,627,3,mode0
201710102226096357,615,643,3,mode0
201710102226096378,628,653,3,mode0
201710102226096395,637,658,3,mode0
201710102226106410,643,662,3,mode0
201710102226106428,647,664,3,mode0
201710102226106443,647,664,3,mode0
201710102226106459,648,664,3,mode0
201710102226106477,648,664,3,mode0
201710102226106497,648,664,3,mode0
201710102226106512,648,663,3,mode0
201710102226106530,648,662,3,mode0
201710102226106549,648,660,3,mode0
201710102226106576,648,659,3,mode0
