unixtime,mouseX,mouseY,collision,mode
201710102229142484,0,0,0,mode0
201710102229142549,709,547,0,mode0
201710102229142567,709,547,0,mode0
201710102229142585,709,547,0,mode0
201710102229142602,709,547,0,mode0
201710102229142621,709,547,0,mode0
201710102229142635,709,547,0,mode0
201710102229142654,709,547,0,mode0
201710102229142679,709,547,0,mode0
201710102229142696,709,547,0,mode0
201710102229142713,709,547,0,mode0
201710102229152730,709,547,0,mode0
201710102229152749,709,547,0,mode0
201710102229152767,709,547,0,mode0
201710102229152784,709,547,0,mode0
201710102229152803,709,547,0,mode0
201710102229152822,709,547,0,mode0
201710102229152840,709,547,0,mode0
201710102229152857,709,547,1,mode0
201710102229152874,709,547,1,mode0
201710102229152891,709,547,1,mode0
201710102229152910,709,547,1,mode0
201710102229152930,709,547,1,mode0
201710102229152959,709,547,1,mode0
201710102229152979,709,547,1,mode0
201710102229153001,709,547,1,mode0
201710102229153023,709,547,1,mode0
201710102229153042,709,547,1,mode0
201710102229153062,709,547,1,mode0
201710102229153080,709,547,1,mode0
201710102229153097,709,547,1,mode0
201710102229153115,709,547,1,mode0
201710102229153130,709,547,1,mode0
201710102229153148,709,547,1,mode0
201710102229153164,712,547,1,mode0
201710102229153187,714,548,1,mode0
201710102229153201,723,550,1,mode0
201710102229153221,731,553,1,mode0
201710102229153242,746,558,1,mode0
201710102229153261,782,573,1,mode0
201710102229153285,827,594,1,mode0
201710102229153308,849,603,1,mode0
201710102229153326,873,613,1,mode0
201710102229153346,908,621,2,mode0
201710102229153375,941,625,2,mode0
201710102229153397,943,625,2,mode0
201710102229153421,948,626,2,mode0
201710102229153437,960,627,2,mode0
201710102229153458,966,627,2,mode0
201710102229153485,972,627,2,mode0
201710102229153510,976,627,3,mode0
201710102229153554,981,627,3,mode0
201710102229153573,986,626,3,mode0
201710102229153589,989,624,3,mode0
201710102229153607,989,624,3,mode0
201710102229153629,990,623,3,mode0
201710102229153651,992,616,3,mode0
201710102229153681,992,609,3,mode0
201710102229153700,992,606,3,mode0
201710102229153718,992,602,3,mode0
201710102229163737,992,597,3,mode0
201710102229163757,992,593,3,mode0
201710102229163778,992,588,3,mode0
201710102229163796,992,584,3,mode0
201710102229163821,992,582,3,mode0
201710102229163843,990,575,3,mode0
201710102229163860,989,570,3,mode0
201710102229163883,987,567,3,mode0
201710102229163899,985,562,3,mode0
201710102229163919,983,558,3,mode0
201710102229163941,981,556,3,mode0
201710102229163958,978,551,3,mode0
201710102229163977,972,545,3,mode0
201710102229164004,970,543,3,mode0
201710102229164024,959,536,4,mode0
201710102229164046,949,529,4,mode0
201710102229164069,943,525,4,mode0
201710102229164087,935,521,4,mode0
201710102229164109,930,518,4,mode0
201710102229164125,925,516,4,mode0
201710102229164147,917,513,4,mode0
201710102229164178,912,512,4,mode0
201710102229164200,903,512,4,mode0
201710102229164227,898,512,4,mode0
201710102229164251,884,515,4,mode0
201710102229164278,870,522,4,mode0
201710102229164300,843,533,4,mode0
201710102229164325,828,538,4,mode0
201710102229164345,801,546,4,mode0
201710102229164373,778,552,4,mode0
201710102229164393,729,561,4,mode0
201710102229164412,721,561,4,mode0
201710102229164431,708,563,4,mode0
201710102229164451,702,563,4,mode0
201710102229164475,701,563,4,mode0
201710102229164491,701,562,4,mode0
201710102229164508,701,562,4,mode0
201710102229164530,701,562,4,mode0
201710102229164548,701,562,4,mode0
201710102229164568,701,562,4,mode0
201710102229164590,701,562,4,mode0
201710102229164609,701,562,4,mode0
201710102229164629,701,562,4,mode0
201710102229164647,701,562,4,mode0
201710102229164668,701,562,4,mode0
201710102229164682,701,562,4,mode0
201710102229164714,709,557,4,mode0
201710102229174732,723,550,4,mode0
201710102229174749,746,543,4,mode0
201710102229174771,754,540,4,mode0
201710102229174788,775,536,4,mode0
201710102229174808,788,533,4,mode0
201710102229174823,795,531,4,mode0
201710102229174843,801,530,5,mode0
201710102229174878,802,530,5,mode0
201710102229174895,803,530,5,mode0
201710102229174913,803,530,5,mode0
201710102229174931,803,530,5,mode0
201710102229174948,803,530,5,mode0
201710102229174965,803,529,5,mode0
201710102229174984,803,529,5,mode0
201710102229175003,803,529,5,mode0
201710102229175024,803,529,5,mode0
201710102229175044,803,529,5,mode0
201710102229175061,803,529,5,mode0
201710102229175079,803,529,5,mode0
201710102229175097,803,529,5,mode0
201710102229175117,803,529,5,mode0
