unixtime,mouseX,mouseY,collision,mode
201710102229532359,0,0,0,mode0
201710102229532428,728,363,0,mode0
201710102229532448,717,379,0,mode0
201710102229532473,696,411,0,mode0
201710102229532493,669,452,0,mode0
201710102229532520,650,479,0,mode0
201710102229532537,635,504,0,mode0
201710102229532566,630,511,0,mode0
201710102229532581,628,516,0,mode0
201710102229532598,627,516,0,mode0
201710102229532621,627,516,0,mode0
201710102229532637,627,516,0,mode0
201710102229532657,627,516,0,mode0
201710102229532677,627,516,0,mode0
201710102229532702,627,516,0,mode0
201710102229532722,627,516,0,mode0
201710102229532740,627,516,0,mode0
201710102229532756,627,516,0,mode0
201710102229532771,627,516,0,mode0
201710102229532789,627,516,0,mode0
201710102229532810,627,516,0,mode0
201710102229532834,627,516,0,mode0
201710102229532854,627,516,0,mode0
201710102229532875,627,516,0,mode0
201710102229532893,627,516,0,mode0
201710102229532915,627,516,0,mode0
201710102229532942,627,516,0,mode0
201710102229532966,627,516,0,mode0
201710102229532985,627,516,0,mode0
201710102229533005,628,518,0,mode0
201710102229543035,636,523,0,mode0
201710102229543063,658,533,0,mode0
201710102229543083,701,541,0,mode0
201710102229543102,716,541,0,mode0
201710102229543124,731,541,0,mode0
201710102229543140,738,540,0,mode0
201710102229543161,744,538,0,mode0
201710102229543180,745,537,0,mode0
201710102229543203,748,534,0,mode0
201710102229543225,750,532,0,mode0
201710102229543243,754,526,0,mode0
201710102229543262,756,523,0,mode0
201710102229543291,758,520,1,mode0
201710102229543312,762,517,2,mode0
201710102229543338,764,516,2,mode0
201710102229543356,764,516,2,mode0
201710102229543372,764,516,2,mode0
201710102229543393,764,516,2,mode0
201710102229543422,764,516,2,mode0
201710102229543461,760,517,2,mode0
201710102229543477,754,520,2,mode0
201710102229543497,754,521,2,mode0
201710102229543519,753,521,2,mode0
201710102229543547,752,521,2,mode0
201710102229543573,752,521,2,mode0
201710102229543595,747,521,2,mode0
201710102229543613,740,521,2,mode0
201710102229543633,733,521,2,mode0
201710102229543654,722,517,2,mode0
201710102229543671,714,512,2,mode0
201710102229543691,709,508,2,mode0
201710102229543719,695,496,2,mode0
201710102229543735,690,490,2,mode0
201710102229543753,687,488,2,mode0
201710102229543777,686,485,2,mode0
201710102229543802,684,483,2,mode0
201710102229543817,682,478,2,mode0
201710102229543837,682,476,3,mode0
201710102229543884,682,475,3,mode0
201710102229543905,682,475,3,mode0
201710102229543927,682,475,3,mode0
201710102229543945,682,475,3,mode0
201710102229543963,682,475,3,mode0
201710102229543995,682,475,3,mode0
201710102229554023,697,493,3,mode0
201710102229554044,729,525,3,mode0
201710102229554063,750,542,3,mode0
201710102229554089,779,559,3,mode0
201710102229554105,791,564,3,mode0
201710102229554123,805,569,3,mode0
201710102229554141,818,573,3,mode0
201710102229554156,825,574,3,mode0
201710102229554174,832,574,3,mode0
201710102229554193,836,574,4,mode0
201710102229554215,841,574,4,mode0
201710102229554232,847,570,4,mode0
201710102229554253,848,570,4,mode0
201710102229554269,852,566,4,mode0
201710102229554289,854,564,4,mode0
201710102229554313,857,563,4,mode0
201710102229554335,858,562,4,mode0
201710102229554349,859,561,4,mode0
201710102229554371,860,561,5,mode0
201710102229554405,861,559,5,mode0
201710102229554427,861,558,5,mode0
201710102229554452,861,558,5,mode0
201710102229554467,858,555,5,mode0
201710102229554487,854,554,5,mode0
201710102229554508,852,553,5,mode0
201710102229554528,837,549,5,mode0
201710102229554551,832,549,5,mode0
201710102229554568,801,545,5,mode0
201710102229554584,773,545,5,mode0
201710102229554607,748,544,5,mode0
201710102229554629,719,544,5,mode0
201710102229554652,664,543,5,mode0
201710102229554673,571,541,5,mode0
201710102229554691,525,541,5,mode0
201710102229554709,500,541,5,mode0
201710102229554726,475,540,5,mode0
201710102229554748,463,538,5,mode0
201710102229554769,454,537,5,mode0
201710102229554791,444,535,5,mode0
201710102229554812,438,534,5,mode0
201710102229554835,426,534,5,mode0
201710102229554853,421,534,5,mode0
201710102229554871,408,541,5,mode0
201710102229554892,399,547,5,mode0
201710102229554915,390,555,5,mode0
201710102229554930,368,571,5,mode0
201710102229554946,364,574,6,mode0
201710102229554985,353,582,6,mode0
201710102229555001,351,582,6,mode0
201710102229565021,350,584,6,mode0
201710102229565050,350,584,6,mode0
201710102229565085,350,583,6,mode0
201710102229565111,363,573,6,mode0
201710102229565136,391,560,6,mode0
201710102229565156,400,557,6,mode0
201710102229565182,442,554,6,mode0
201710102229565204,474,554,6,mode0
201710102229565223,497,558,6,mode0
201710102229565243,510,562,6,mode0
201710102229565259,517,564,6,mode0
201710102229565277,523,566,6,mode0
201710102229565300,526,567,6,mode0
201710102229565321,527,568,6,mode0
201710102229565339,527,568,6,mode0
201710102229565354,527,568,6,mode0
201710102229565372,526,568,6,mode0
201710102229565393,522,568,6,mode0
201710102229565410,513,568,6,mode0
201710102229565427,509,568,6,mode0
201710102229565449,506,568,6,mode0
201710102229565470,500,566,6,mode0
201710102229565488,492,566,6,mode0
201710102229565502,484,566,6,mode0
201710102229565522,481,566,6,mode0
201710102229565542,474,567,6,mode0
201710102229565558,463,571,6,mode0
201710102229565576,455,573,6,mode0
201710102229565596,446,577,6,mode0
201710102229565619,435,580,6,mode0
201710102229565637,415,587,6,mode0
201710102229565655,409,589,6,mode0
201710102229565675,400,592,6,mode0
201710102229565693,395,594,6,mode0
201710102229565708,394,594,6,mode0
201710102229565729,393,594,6,mode0
201710102229565747,393,594,6,mode0
201710102229565768,393,594,6,mode0
201710102229565789,393,594,6,mode0
201710102229565806,393,594,6,mode0
201710102229565823,393,594,6,mode0
201710102229565844,393,594,6,mode0
201710102229565858,393,594,6,mode0
201710102229565878,393,594,6,mode0
201710102229565891,393,594,6,mode0
201710102229565909,393,594,6,mode0
201710102229565924,393,594,6,mode0
201710102229565943,393,594,6,mode0
201710102229565958,393,594,6,mode0
201710102229565977,392,594,6,mode0
201710102229565992,383,594,6,mode0
201710102229566011,378,594,6,mode0
201710102229576028,360,596,6,mode0
201710102229576047,356,596,6,mode0
201710102229576065,333,599,6,mode0
201710102229576080,318,600,6,mode0
201710102229576098,310,601,6,mode0
201710102229576119,307,602,6,mode0
201710102229576138,303,602,6,mode0
201710102229576153,302,602,6,mode0
201710102229576171,302,602,6,mode0
201710102229576187,302,602,6,mode0
201710102229576205,302,602,6,mode0
201710102229576222,302,602,6,mode0
201710102229576238,302,602,6,mode0
201710102229576253,302,602,6,mode0
201710102229576272,302,602,6,mode0
201710102229576288,302,602,6,mode0
201710102229576307,302,602,6,mode0
201710102229576323,302,602,6,mode0
201710102229576340,302,602,6,mode0
201710102229576357,302,602,6,mode0
201710102229576374,301,602,6,mode0
201710102229576391,299,603,6,mode0
201710102229576407,297,603,6,mode0
201710102229576425,294,603,6,mode0
201710102229576451,293,603,6,mode0
201710102229576471,291,603,6,mode0
201710102229576490,291,603,6,mode0
201710102229576511,295,599,6,mode0
201710102229576527,304,592,6,mode0
201710102229576552,328,581,6,mode0
201710102229576576,350,573,6,mode0
201710102229576591,373,567,6,mode0
201710102229576609,379,565,7,mode0
201710102229576645,395,560,7,mode0
201710102229576661,396,559,7,mode0
201710102229576684,397,559,7,mode0
201710102229576701,398,558,8,mode0
201710102229576729,398,558,8,mode0
201710102229576746,398,558,8,mode0
201710102229576761,398,558,8,mode0
201710102229576778,399,558,8,mode0
201710102229576797,399,557,8,mode0
201710102229576812,401,556,8,mode0
201710102229576831,402,556,8,mode0
201710102229576850,406,556,8,mode0
201710102229576872,411,556,8,mode0
201710102229576887,419,556,8,mode0
201710102229576905,428,560,8,mode0
201710102229576922,430,563,8,mode0
201710102229576940,432,564,8,mode0
201710102229576958,432,564,8,mode0
201710102229576976,432,564,8,mode0
201710102229576994,432,564,8,mode0
201710102229577011,432,564,8,mode0
201710102229587029,432,564,8,mode0
201710102229587047,432,564,8,mode0
201710102229587064,432,564,8,mode0
201710102229587080,432,564,8,mode0
201710102229587099,432,564,8,mode0
201710102229587115,432,564,8,mode0
201710102229587133,432,564,8,mode0
201710102229587151,432,564,8,mode0
201710102229587172,432,564,8,mode0
201710102229587196,432,564,8,mode0
201710102229587211,432,564,8,mode0
201710102229587228,432,564,8,mode0
201710102229587246,432,564,8,mode0
201710102229587263,432,564,8,mode0
201710102229587280,432,564,8,mode0
201710102229587302,432,564,8,mode0
201710102229587321,429,564,8,mode0
201710102229587339,423,563,8,mode0
201710102229587358,418,563,8,mode0
201710102229587374,404,559,9,mode0
201710102229587395,392,556,9,mode0
201710102229587414,390,555,10,mode0
201710102229587449,381,552,10,mode0
201710102229587466,379,551,10,mode0
201710102229587485,379,551,10,mode0
201710102229587505,379,551,10,mode0
201710102229587522,379,551,10,mode0
201710102229587538,379,551,10,mode0
201710102229587555,379,551,10,mode0
201710102229587573,379,551,10,mode0
201710102229587588,379,551,10,mode0
201710102229587606,379,551,10,mode0
201710102229587621,379,551,10,mode0
201710102229587638,379,551,10,mode0
201710102229587656,379,551,10,mode0
201710102229587672,379,551,10,mode0
201710102229587688,379,551,10,mode0
201710102229587704,379,551,10,mode0
201710102229587723,379,551,10,mode0
201710102229587739,379,551,10,mode0
201710102229587757,379,551,10,mode0
201710102229587773,379,551,10,mode0
201710102229587789,379,551,10,mode0
201710102229587806,379,551,10,mode0
201710102229587822,379,551,10,mode0
201710102229587838,379,551,10,mode0
201710102229587856,379,551,10,mode0
201710102229587873,379,551,10,mode0
201710102229587891,381,551,10,mode0
201710102229587910,390,550,10,mode0
201710102229587926,402,548,10,mode0
201710102229587942,433,546,10,mode0
201710102229587958,466,546,10,mode0
201710102229587977,537,547,10,mode0
201710102229587997,571,552,10,mode0
201710102229588017,607,557,10,mode0
201710102229598032,632,560,10,mode0
201710102229598052,638,560,10,mode0
201710102229598070,642,560,10,mode0
201710102229598087,649,560,11,mode0
201710102229598109,655,558,11,mode0
201710102229598128,658,556,11,mode0
201710102229598146,664,554,11,mode0
201710102229598163,665,553,11,mode0
201710102229598185,674,551,11,mode0
201710102229598200,688,550,11,mode0
201710102229598217,698,550,11,mode0
201710102229598237,717,558,11,mode0
201710102229598253,726,566,11,mode0
201710102229598270,736,573,11,mode0
201710102229598286,740,577,11,mode0
201710102229598303,745,581,11,mode0
201710102229598321,747,582,11,mode0
201710102229598340,748,583,11,mode0
201710102229598355,748,583,11,mode0
201710102229598371,748,583,11,mode0
201710102229598388,748,583,11,mode0
201710102229598405,748,583,11,mode0
201710102229598421,748,583,11,mode0
201710102229598437,748,583,11,mode0
201710102229598455,748,583,11,mode0
201710102229598471,748,583,11,mode0
201710102229598489,748,583,11,mode0
201710102229598504,748,583,11,mode0
201710102229598521,748,583,11,mode0
201710102229598540,748,583,11,mode0
201710102229598556,748,583,11,mode0
201710102229598573,748,583,11,mode0
201710102229598591,748,583,11,mode0
201710102229598608,748,583,11,mode0
201710102229598625,760,587,11,mode0
201710102229598643,776,599,11,mode0
201710102229598661,792,612,11,mode0
201710102229598678,823,635,11,mode0
201710102229598696,841,650,11,mode0
201710102229598715,864,670,11,mode0
201710102229598734,872,677,11,mode0
201710102229598750,880,684,11,mode0
201710102229598767,883,686,11,mode0
201710102229598782,884,686,11,mode0
201710102229598802,885,687,11,mode0
201710102229598819,888,687,11,mode0
201710102229598838,889,687,11,mode0
201710102229598855,892,687,11,mode0
201710102229598872,894,687,11,mode0
201710102229598889,895,687,11,mode0
201710102229598905,898,684,11,mode0
201710102229598922,900,682,11,mode0
201710102229598941,904,677,11,mode0
201710102229598955,907,673,11,mode0
201710102229598973,908,668,11,mode0
201710102229598991,910,661,11,mode0
201710102229599008,910,651,11,mode0
201710102230009028,910,645,11,mode0
201710102230009049,908,630,12,mode0
201710102230009072,902,617,12,mode0
201710102230009096,902,615,12,mode0
201710102230009119,898,613,12,mode0
201710102230009137,894,611,12,mode0
201710102230009158,892,611,12,mode0
201710102230009181,888,610,12,mode0
201710102230009202,884,609,12,mode0
201710102230009218,872,609,12,mode0
201710102230009236,868,609,12,mode0
201710102230009251,853,615,12,mode0
201710102230009268,841,623,12,mode0
201710102230009283,827,632,12,mode0
201710102230009303,818,638,12,mode0
201710102230009318,806,645,12,mode0
201710102230009335,791,652,12,mode0
201710102230009353,787,653,12,mode0
201710102230009369,775,657,12,mode0
201710102230009386,768,658,12,mode0
201710102230009403,758,659,12,mode0
201710102230009419,751,660,12,mode0
201710102230009436,743,660,12,mode0
201710102230009456,734,660,12,mode0
201710102230009472,728,660,12,mode0
201710102230009490,720,660,12,mode0
201710102230009508,715,658,12,mode0
201710102230009524,712,656,12,mode0
201710102230009543,707,651,12,mode0
201710102230009558,706,650,12,mode0
201710102230009575,704,646,12,mode0
201710102230009593,702,643,12,mode0
201710102230009612,701,641,12,mode0
201710102230009631,699,638,12,mode0
201710102230009645,697,637,13,mode0
201710102230009681,694,634,13,mode0
201710102230009699,693,634,13,mode0
201710102230009716,693,634,13,mode0
201710102230009736,693,634,13,mode0
201710102230009753,693,634,13,mode0
201710102230009768,693,634,13,mode0
201710102230009789,693,634,13,mode0
201710102230009807,693,634,13,mode0
201710102230009823,693,634,13,mode0
201710102230009840,693,634,13,mode0
201710102230009856,693,634,13,mode0
201710102230009872,693,634,14,mode0
201710102230009892,693,634,14,mode0
201710102230009910,694,634,14,mode0
201710102230009930,694,634,14,mode0
201710102230009949,698,634,14,mode0
201710102230009964,705,634,14,mode0
201710102230009981,706,634,14,mode0
2017101022300010001,712,634,14,mode0
2017101022300010016,723,636,14,mode0
2017101022300110036,743,641,14,mode0
2017101022300110055,751,644,14,mode0
2017101022300110075,778,658,14,mode0
2017101022300110091,841,699,14,mode0
2017101022300110108,878,725,14,mode0
2017101022300110125,903,741,14,mode0
2017101022300110147,917,749,14,mode0
2017101022300110170,949,766,14,mode0
2017101022300110186,980,778,14,mode0
2017101022300110206,1004,783,15,mode0
2017101022300110240,1033,784,15,mode0
2017101022300110258,1040,780,16,mode0
2017101022300110284,1054,774,16,mode0
2017101022300110299,1061,773,16,mode0
2017101022300110319,1071,773,16,mode0
2017101022300110339,1083,779,16,mode0
2017101022300110356,1103,796,16,mode0
2017101022300110376,1105,799,16,mode0
2017101022300110396,1105,799,16,mode0
2017101022300110418,1105,799,16,mode0
2017101022300110435,1105,799,16,mode0
2017101022300110453,1105,799,16,mode0
2017101022300110472,1105,799,16,mode0
2017101022300110489,1139,792,16,mode0
2017101022300110505,1140,785,16,mode0
2017101022300110524,1142,777,16,mode0
2017101022300110542,1143,768,16,mode0
2017101022300110562,1144,759,16,mode0
2017101022300110591,1147,743,16,mode0
2017101022300110606,1148,736,16,mode0
2017101022300110624,1151,726,16,mode0
2017101022300110642,1152,723,16,mode0
2017101022300110658,1156,707,16,mode0
2017101022300110677,1157,700,17,mode0
2017101022300110709,1161,689,17,mode0
2017101022300110727,1161,688,17,mode0
2017101022300110743,1162,685,17,mode0
2017101022300110761,1163,683,17,mode0
2017101022300110777,1164,682,17,mode0
2017101022300110794,1165,681,17,mode0
2017101022300110815,1165,680,17,mode0
2017101022300110835,1165,679,17,mode0
2017101022300110850,1162,679,17,mode0
2017101022300110870,1160,679,17,mode0
2017101022300110888,1160,679,17,mode0
2017101022300110910,1142,678,17,mode0
2017101022300110928,1133,678,17,mode0
2017101022300110946,1112,679,17,mode0
2017101022300110961,1112,679,17,mode0
2017101022300110981,1095,682,17,mode0
2017101022300110999,1040,695,17,mode0
2017101022300211021,1029,700,17,mode0
2017101022300211039,982,718,17,mode0
2017101022300211055,960,729,17,mode0
2017101022300211075,950,734,17,mode0
2017101022300211093,927,748,17,mode0
2017101022300211113,920,752,17,mode0
2017101022300211137,916,756,17,mode0
2017101022300211156,913,758,17,mode0
2017101022300211176,913,758,17,mode0
2017101022300211195,910,760,17,mode0
2017101022300211211,909,761,17,mode0
2017101022300211229,906,763,17,mode0
2017101022300211249,904,765,17,mode0
2017101022300211269,895,770,17,mode0
2017101022300211288,874,774,17,mode0
2017101022300211304,867,774,17,mode0
2017101022300211323,853,773,17,mode0
2017101022300211342,826,762,17,mode0
2017101022300211358,807,752,17,mode0
2017101022300211376,780,736,17,mode0
2017101022300211392,772,732,17,mode0
2017101022300211408,762,726,17,mode0
2017101022300211427,747,717,17,mode0
2017101022300211443,742,715,17,mode0
2017101022300211463,736,712,17,mode0
2017101022300211480,731,710,17,mode0
2017101022300211497,729,710,17,mode0
2017101022300211515,728,709,17,mode0
2017101022300211532,726,709,17,mode0
2017101022300211548,725,709,17,mode0
2017101022300211569,725,709,17,mode0
2017101022300211589,725,709,17,mode0
2017101022300211604,724,709,17,mode0
2017101022300211621,722,709,17,mode0
2017101022300211641,721,709,17,mode0
2017101022300211660,716,710,17,mode0
2017101022300211678,714,710,17,mode0
2017101022300211697,707,712,17,mode0
2017101022300211714,703,712,17,mode0
2017101022300211731,695,712,17,mode0
2017101022300211750,692,713,17,mode0
2017101022300211773,686,713,17,mode0
2017101022300211791,684,713,17,mode0
2017101022300211812,680,713,17,mode0
2017101022300211828,679,712,17,mode0
2017101022300211846,679,711,17,mode0
2017101022300211862,679,710,17,mode0
2017101022300211882,679,705,17,mode0
2017101022300211903,681,701,17,mode0
2017101022300211923,685,697,17,mode0
2017101022300211946,699,685,17,mode0
2017101022300211965,707,680,17,mode0
2017101022300211982,745,665,17,mode0
2017101022300212001,749,664,17,mode0
2017101022300212015,772,660,17,mode0
2017101022300312033,787,658,17,mode0
2017101022300312051,801,654,17,mode0
2017101022300312065,816,651,17,mode0
2017101022300312085,828,648,17,mode0
2017101022300312100,840,644,17,mode0
2017101022300312118,853,641,17,mode0
2017101022300312135,869,636,17,mode0
2017101022300312150,880,632,17,mode0
2017101022300312168,890,629,17,mode0
2017101022300312183,901,626,17,mode0
2017101022300312203,912,622,17,mode0
2017101022300312218,922,620,17,mode0
2017101022300312236,933,618,17,mode0
2017101022300312254,942,617,17,mode0
2017101022300312269,953,617,17,mode0
2017101022300312287,973,617,17,mode0
2017101022300312302,978,617,17,mode0
2017101022300312321,993,618,17,mode0
2017101022300312338,1002,619,17,mode0
2017101022300312355,1010,620,17,mode0
2017101022300312372,1015,621,17,mode0
2017101022300312390,1021,622,17,mode0
2017101022300312407,1029,623,17,mode0
2017101022300312426,1033,624,17,mode0
2017101022300312440,1037,624,17,mode0
2017101022300312458,1040,624,17,mode0
2017101022300312474,1042,624,17,mode0
2017101022300312491,1042,624,17,mode0
2017101022300312508,1043,624,17,mode0
2017101022300312523,1044,624,17,mode0
2017101022300312541,1044,624,17,mode0
2017101022300312559,1044,624,17,mode0
2017101022300312575,1044,624,17,mode0
2017101022300312593,1044,622,17,mode0
2017101022300312609,1044,619,17,mode0
2017101022300312626,1044,615,17,mode0
2017101022300312643,1044,612,17,mode0
2017101022300312664,1043,608,17,mode0
2017101022300312682,1042,605,17,mode0
2017101022300312698,1041,602,17,mode0
2017101022300312719,1040,599,17,mode0
2017101022300312734,1039,595,17,mode0
2017101022300312753,1038,593,17,mode0
2017101022300312771,1037,592,17,mode0
2017101022300312787,1036,590,17,mode0
2017101022300312804,1035,588,17,mode0
2017101022300312819,1033,586,17,mode0
2017101022300312837,1030,583,17,mode0
2017101022300312856,1028,581,17,mode0
2017101022300312873,1026,579,17,mode0
2017101022300312890,1018,572,18,mode0
