unixtime,mouseX,mouseY,collision,mode
1508376236902,1078,657,0,mode0
1508376236919,1078,657,0,mode0
1508376236937,1078,657,0,mode0
1508376236952,1078,657,0,mode0
1508376236969,1076,657,0,mode0
1508376236986,1075,657,0,mode0
1508376237003,1070,657,0,mode0
1508376237019,1068,657,0,mode0
1508376237036,1058,657,0,mode0
1508376237052,1048,657,0,mode0
1508376237069,1024,657,0,mode0
1508376237086,1019,657,0,mode0
1508376237103,976,657,0,mode0
1508376237120,966,657,0,mode0
1508376237137,915,657,0,mode0
1508376237153,880,657,0,mode0
1508376237170,837,655,0,mode0
1508376237187,804,651,0,mode0
1508376237204,763,645,0,mode0
1508376237220,750,644,0,mode0
1508376237238,708,638,0,mode0
1508376237254,680,632,0,mode0
1508376237270,652,628,0,mode0
1508376237287,615,622,0,mode0
1508376237304,607,621,0,mode0
1508376237321,572,613,1,mode0
1508376237338,528,602,1,mode0
1508376237356,502,596,1,mode0
1508376237373,473,589,1,mode0
1508376237389,467,587,1,mode0
1508376237406,464,585,1,mode0
1508376237423,463,583,1,mode0
1508376237439,461,581,1,mode0
1508376237455,453,575,1,mode0
1508376237472,442,565,2,mode0
1508376237491,436,562,2,mode0
1508376237509,432,558,2,mode0
1508376237525,429,558,2,mode0
1508376237541,426,556,2,mode0
1508376237559,423,555,2,mode0
1508376237576,390,548,2,mode0
1508376237592,380,547,2,mode0
1508376237609,345,539,2,mode0
1508376237626,332,538,2,mode0
1508376237642,323,536,2,mode0
1508376237659,312,536,2,mode0
1508376237676,293,536,2,mode0
1508376237693,285,536,2,mode0
1508376237709,248,533,2,mode0
1508376237725,224,533,2,mode0
1508376237741,201,533,2,mode0
1508376237758,185,533,2,mode0
1508376237775,167,533,2,mode0
1508376237792,162,533,3,mode0
1508376237811,139,528,3,mode0
1508376237828,137,527,3,mode0
1508376237845,132,524,3,mode0
1508376237861,131,522,3,mode0
1508376237879,129,517,3,mode0
1508376237896,129,514,3,mode0
1508376237912,129,508,3,mode0
1508376237928,129,506,3,mode0
1508376237945,132,501,3,mode0
1508376237962,146,493,3,mode0
1508376237979,173,488,4,mode0
1508376237999,195,486,4,mode0
1508376238016,212,484,4,mode0
1508376238032,216,483,4,mode0
1508376238049,223,483,4,mode0
1508376238066,225,483,4,mode0
1508376238083,233,483,4,mode0
1508376238100,243,484,4,mode0
1508376238117,262,487,4,mode0
1508376238134,273,489,4,mode0
1508376238151,293,495,4,mode0
1508376238168,298,498,4,mode0
1508376238183,323,506,4,mode0
1508376238200,352,516,4,mode0
1508376238217,411,534,4,mode0
1508376238234,462,549,4,mode0
1508376238250,537,574,4,mode0
1508376238266,566,580,4,mode0
1508376238283,656,604,4,mode0
1508376238300,737,624,4,mode0
1508376238317,879,650,4,mode0
1508376238333,1008,668,4,mode0
1508376238350,1054,672,4,mode0
1508376238367,1233,691,4,mode0
1508376238384,1316,700,4,mode0
1508376238399,1406,706,4,mode0
1508376238417,1443,709,4,mode0
1508376238432,1453,709,4,mode0
1508376238451,1454,709,4,mode0
1508376238467,1454,709,4,mode0
1508376238483,1454,709,4,mode0
1508376238500,1454,706,4,mode0
1508376238517,1454,704,4,mode0
1508376238533,1454,701,4,mode0
1508376238550,1454,700,4,mode0
1508376238566,1459,699,4,mode0
1508376238583,1461,699,4,mode0
1508376238600,1493,700,5,mode0
1508376238622,1508,709,5,mode0
1508376238639,1509,709,5,mode0
1508376238656,1512,714,5,mode0
1508376238672,1512,717,5,mode0
1508376238688,1512,719,5,mode0
1508376238705,1500,725,5,mode0
1508376238722,1498,727,5,mode0
1508376238739,1479,736,5,mode0
1508376238755,1457,744,5,mode0
1508376238772,1424,755,5,mode0
1508376238788,1388,766,5,mode0
1508376238806,1364,770,5,mode0
1508376238822,1357,771,5,mode0
1508376238838,1337,771,5,mode0
1508376238856,1336,771,5,mode0
1508376238872,1336,771,5,mode0
1508376238888,1336,771,5,mode0
1508376238906,1336,770,5,mode0
1508376238922,1336,770,5,mode0
1508376238938,1334,768,5,mode0
1508376238956,1333,768,5,mode0
1508376238972,1326,766,5,mode0
1508376238988,1313,764,5,mode0
1508376239005,1278,759,5,mode0
1508376239022,1250,753,5,mode0
1508376239039,1211,743,5,mode0
1508376239056,1200,740,5,mode0
1508376239072,1178,732,5,mode0
1508376239091,1178,732,5,mode0
1508376239108,1178,726,5,mode0
1508376239125,1178,718,5,mode0
1508376239142,1180,702,5,mode0
1508376239159,1180,691,5,mode0
1508376239175,1179,678,6,mode0
1508376239193,1172,671,6,mode0
1508376239209,1170,670,6,mode0
1508376239226,1162,667,6,mode0
1508376239243,1143,665,6,mode0
1508376239260,1130,665,6,mode0
1508376239276,1120,665,6,mode0
1508376239293,1118,664,6,mode0
1508376239310,1111,662,6,mode0
1508376239326,1111,661,6,mode0
1508376239343,1108,658,6,mode0
1508376239359,1104,653,6,mode0
1508376239376,1094,645,6,mode0
1508376239393,1082,637,6,mode0
1508376239410,1057,619,6,mode0
1508376239426,1048,612,6,mode0
1508376239443,1011,587,7,mode0
1508376239474,989,563,7,mode0
1508376239491,989,562,7,mode0
1508376239507,989,561,7,mode0
1508376239524,989,561,7,mode0
1508376239542,989,561,7,mode0
1508376239558,989,561,7,mode0
1508376239575,989,561,7,mode0
1508376239592,988,561,7,mode0
1508376239609,988,562,7,mode0
1508376239625,991,569,7,mode0
1508376239641,992,569,7,mode0
1508376239658,994,569,7,mode0
1508376239674,996,569,7,mode0
1508376239691,1003,567,7,mode0
1508376239708,1006,562,7,mode0
1508376239725,1016,550,7,mode0
1508376239742,1018,547,7,mode0
1508376239757,1029,532,7,mode0
1508376239775,1032,526,7,mode0
1508376239791,1035,522,7,mode0
1508376239808,1037,518,7,mode0
1508376239825,1040,516,8,mode0
1508376239843,1041,516,8,mode0
1508376239861,1048,515,8,mode0
1508376239877,1049,515,8,mode0
1508376239893,1051,515,8,mode0
1508376239910,1053,515,8,mode0
1508376239927,1067,518,8,mode0
1508376239944,1083,523,8,mode0
1508376239960,1111,534,8,mode0
1508376239977,1121,538,8,mode0
1508376239994,1170,554,8,mode0
1508376240011,1209,566,8,mode0
1508376240027,1265,586,9,mode0
1508376240050,1312,597,9,mode0
1508376240067,1338,603,9,mode0
1508376240084,1356,608,9,mode0
1508376240101,1362,609,9,mode0
1508376240117,1368,611,9,mode0
1508376240135,1368,612,9,mode0
1508376240150,1369,615,9,mode0
1508376240168,1369,619,9,mode0
1508376240185,1367,626,9,mode0
1508376240201,1364,630,9,mode0
1508376240218,1363,632,9,mode0
1508376240235,1355,638,9,mode0
1508376240251,1333,642,9,mode0
1508376240268,1294,646,9,mode0
1508376240284,1275,648,9,mode0
1508376240301,1146,645,9,mode0
1508376240318,1107,641,9,mode0
1508376240334,987,638,9,mode0
1508376240351,919,638,9,mode0
1508376240368,862,638,10,mode0
1508376240386,852,637,10,mode0
1508376240403,842,636,10,mode0
1508376240421,829,633,10,mode0
1508376240437,807,626,10,mode0
1508376240453,785,621,10,mode0
1508376240469,781,620,10,mode0
1508376240487,768,619,10,mode0
1508376240503,759,617,10,mode0
1508376240520,756,617,10,mode0
1508376240537,751,617,10,mode0
1508376240553,749,616,10,mode0
1508376240569,742,613,10,mode0
1508376240586,740,611,10,mode0
1508376240603,734,601,10,mode0
1508376240619,733,590,10,mode0
1508376240636,732,575,10,mode0
1508376240653,729,565,10,mode0
1508376240670,727,552,10,mode0
1508376240687,726,548,10,mode0
1508376240703,725,535,10,mode0
1508376240719,721,525,10,mode0
1508376240736,716,516,11,mode0
1508376240755,715,512,11,mode0
1508376240772,713,505,11,mode0
1508376240789,712,503,11,mode0
1508376240805,712,501,11,mode0
1508376240823,711,500,11,mode0
1508376240839,708,498,11,mode0
1508376240856,703,494,11,mode0
1508376240872,689,486,12,mode0
1508376240891,683,481,12,mode0
1508376240908,683,481,12,mode0
1508376240925,683,481,12,mode0
1508376240942,683,480,12,mode0
1508376240958,683,479,12,mode0
1508376240975,692,479,12,mode0
1508376240991,714,479,12,mode0
1508376241008,745,482,12,mode0
1508376241025,758,485,12,mode0
1508376241041,811,501,12,mode0
1508376241058,853,518,12,mode0
1508376241074,923,549,12,mode0
1508376241091,970,572,12,mode0
1508376241108,1047,599,12,mode0
1508376241125,1069,605,12,mode0
1508376241142,1122,615,12,mode0
1508376241159,1150,617,12,mode0
1508376241176,1185,619,12,mode0
1508376241192,1195,619,12,mode0
1508376241210,1196,619,12,mode0
1508376241225,1203,619,12,mode0
1508376241243,1205,619,12,mode0
1508376241259,1215,621,13,mode0
1508376241282,1227,624,13,mode0
1508376241299,1240,626,13,mode0
1508376241316,1243,628,13,mode0
1508376241333,1250,632,13,mode0
1508376241349,1253,635,13,mode0
1508376241367,1256,636,13,mode0
1508376241382,1269,645,13,mode0
1508376241400,1275,655,13,mode0
1508376241415,1275,656,13,mode0
1508376241433,1275,659,13,mode0
1508376241449,1263,667,13,mode0
1508376241466,1259,670,13,mode0
1508376241483,1212,677,13,mode0
1508376241499,1196,677,13,mode0
1508376241516,1130,679,13,mode0
1508376241533,1089,681,14,mode0
1508376241551,1040,685,14,mode0
1508376241568,1001,691,14,mode0
1508376241585,988,692,14,mode0
1508376241600,985,692,14,mode0
1508376241618,964,697,14,mode0
1508376241635,961,698,14,mode0
1508376241651,943,699,14,mode0
1508376241667,924,699,14,mode0
1508376241685,889,699,14,mode0
1508376241702,852,699,14,mode0
1508376241718,797,690,14,mode0
1508376241735,781,687,14,mode0
1508376241751,731,672,14,mode0
1508376241768,703,656,14,mode0
1508376241784,675,628,14,mode0
1508376241801,668,619,14,mode0
1508376241819,667,612,14,mode0
1508376241835,667,610,14,mode0
1508376241851,667,603,14,mode0
1508376241868,668,603,14,mode0
1508376241884,687,600,14,mode0
1508376241901,713,600,14,mode0
1508376241917,752,603,14,mode0
1508376241934,782,611,14,mode0
1508376241951,840,627,14,mode0
1508376241968,856,634,14,mode0
1508376241984,922,659,14,mode0
1508376242001,975,678,14,mode0
1508376242018,1031,691,14,mode0
1508376242034,1094,703,14,mode0
1508376242051,1107,705,14,mode0
1508376242068,1148,707,14,mode0
1508376242085,1188,703,14,mode0
1508376242102,1191,701,14,mode0
1508376242119,1196,696,14,mode0
1508376242135,1206,686,14,mode0
1508376242153,1207,684,14,mode0
1508376242169,1215,678,14,mode0
1508376242186,1217,677,14,mode0
1508376242202,1229,671,14,mode0
1508376242219,1234,666,15,mode0
1508376242238,1236,663,15,mode0
1508376242255,1238,660,15,mode0
1508376242272,1243,657,15,mode0
1508376242288,1257,651,15,mode0
1508376242305,1261,650,15,mode0
1508376242323,1277,649,15,mode0
1508376242339,1301,647,15,mode0
1508376242355,1323,648,15,mode0
1508376242372,1371,659,15,mode0
1508376242389,1436,678,15,mode0
1508376242405,1480,690,15,mode0
1508376242423,1499,694,15,mode0
1508376242439,1561,706,16,mode0
