unixtime,mouseX,mouseY,collision,mode
1508376517806,1350,580,0,mode0
1508376517822,1351,580,0,mode0
1508376517838,1351,580,0,mode0
1508376517855,1351,580,0,mode0
1508376517872,1341,581,0,mode0
1508376517888,1317,587,0,mode0
1508376517905,1276,597,0,mode0
1508376517922,1260,598,0,mode0
1508376517939,1185,602,0,mode0
1508376517955,1127,602,0,mode0
1508376517972,1036,602,0,mode0
1508376517989,982,602,0,mode0
1508376518005,924,602,0,mode0
1508376518022,908,602,0,mode0
1508376518039,865,602,0,mode0
1508376518056,839,602,0,mode0
1508376518072,812,602,0,mode0
1508376518089,810,602,0,mode0
1508376518105,810,602,0,mode0
1508376518121,803,601,0,mode0
1508376518139,801,600,0,mode0
1508376518155,791,599,0,mode0
1508376518173,786,596,0,mode0
1508376518189,779,592,0,mode0
1508376518206,769,582,0,mode0
1508376518223,752,566,0,mode0
1508376518239,749,560,0,mode0
1508376518256,746,539,0,mode0
1508376518272,748,529,0,mode0
1508376518289,757,524,1,mode0
1508376518306,786,518,1,mode0
1508376518323,824,518,1,mode0
1508376518339,839,518,1,mode0
1508376518357,897,518,1,mode0
1508376518374,936,516,1,mode0
1508376518391,973,516,1,mode0
1508376518407,989,515,1,mode0
1508376518424,1019,515,2,mode0
1508376518442,1060,515,2,mode0
1508376518460,1088,515,2,mode0
1508376518476,1093,515,2,mode0
1508376518493,1110,515,2,mode0
1508376518509,1113,514,2,mode0
1508376518527,1109,511,2,mode0
1508376518542,1099,507,2,mode0
1508376518559,1064,501,2,mode0
1508376518577,1056,501,2,mode0
1508376518592,994,501,2,mode0
1508376518609,934,503,2,mode0
1508376518626,838,513,2,mode0
1508376518643,772,522,2,mode0
1508376518659,681,535,2,mode0
1508376518676,655,541,2,mode0
1508376518693,568,551,2,mode0
1508376518709,512,558,2,mode0
1508376518726,426,562,2,mode0
1508376518743,365,564,2,mode0
1508376518779,283,564,3,mode0
1508376518799,204,568,3,mode0
1508376518815,140,578,3,mode0
1508376518832,132,581,3,mode0
1508376518849,118,585,4,mode0
1508376518871,114,588,4,mode0
1508376518888,111,589,4,mode0
1508376518905,111,590,4,mode0
1508376518922,111,590,4,mode0
1508376518938,111,590,4,mode0
1508376518955,111,590,4,mode0
1508376518971,111,590,4,mode0
1508376518988,119,590,4,mode0
1508376519005,138,592,4,mode0
1508376519022,185,592,4,mode0
1508376519038,204,592,4,mode0
1508376519055,306,592,4,mode0
1508376519071,330,592,4,mode0
1508376519089,393,592,4,mode0
1508376519106,443,592,4,mode0
1508376519124,472,592,4,mode0
1508376519144,508,592,4,mode0
1508376519164,543,592,4,mode0
1508376519181,571,592,4,mode0
1508376519197,608,592,4,mode0
1508376519214,616,592,4,mode0
1508376519231,661,592,4,mode0
1508376519248,666,592,4,mode0
1508376519264,666,592,4,mode0
1508376519281,666,592,4,mode0
1508376519297,666,592,4,mode0
1508376519314,666,592,4,mode0
1508376519330,666,592,4,mode0
1508376519347,666,592,4,mode0
1508376520940,722,699,0,mode0
1508376520958,717,699,0,mode0
1508376520974,709,699,0,mode0
1508376520991,688,699,0,mode0
1508376521008,682,699,0,mode0
1508376521024,636,703,0,mode0
1508376521041,627,703,0,mode0
1508376521057,604,703,0,mode0
1508376521075,602,703,0,mode0
1508376521094,602,703,1,mode0
1508376521113,602,703,1,mode0
1508376521130,602,703,1,mode0
1508376521147,602,703,1,mode0
1508376521164,602,703,1,mode0
1508376521180,606,703,1,mode0
1508376521196,608,703,1,mode0
1508376521213,627,703,1,mode0
1508376521231,651,702,1,mode0
1508376521246,701,701,1,mode0
1508376521263,723,699,1,mode0
1508376521281,796,697,1,mode0
1508376521297,845,695,1,mode0
1508376521313,917,691,1,mode0
1508376521330,968,686,1,mode0
1508376521346,990,686,1,mode0
1508376521363,1043,677,1,mode0
1508376521380,1086,668,1,mode0
1508376521397,1112,664,1,mode0
1508376521414,1129,661,1,mode0
1508376521431,1137,658,1,mode0
1508376521447,1147,655,1,mode0
1508376521463,1159,651,1,mode0
1508376521480,1161,650,1,mode0
1508376521497,1163,649,1,mode0
1508376521513,1163,649,1,mode0
1508376521530,1161,648,2,mode0
1508376521547,1153,648,2,mode0
1508376521564,1140,648,2,mode0
1508376521580,1132,648,3,mode0
1508376521598,1085,648,4,mode0
1508376521621,1022,651,4,mode0
1508376521638,983,655,4,mode0
1508376521656,946,657,4,mode0
1508376521672,941,659,4,mode0
1508376521688,941,659,4,mode0
1508376521705,941,659,4,mode0
1508376521721,948,659,4,mode0
1508376521738,952,659,4,mode0
1508376521755,985,661,4,mode0
1508376521771,1022,663,4,mode0
1508376521789,1086,665,4,mode0
1508376521805,1130,665,4,mode0
1508376521821,1184,667,4,mode0
