unixtime,mouseX,mouseY,collision,mode
1508376477475,1229,734,13,mode0
1508376477491,1258,756,14,mode0
1508376477512,1316,800,14,mode0
1508376477529,1325,808,14,mode0
1508376477546,1351,824,14,mode0
1508376477563,1384,842,14,mode0
1508376477579,1393,845,14,mode0
1508376477596,1425,856,14,mode0
1508376477612,1449,866,14,mode0
1508376477629,1473,876,14,mode0
1508376477647,1503,887,14,mode0
1508376477663,1512,889,14,mode0
1508376477679,1538,897,14,mode0
1508376477696,1546,897,14,mode0
1508376477712,1547,897,14,mode0
1508376477730,1548,892,14,mode0
1508376477746,1548,874,14,mode0
1508376477762,1548,858,14,mode0
1508376477779,1550,833,14,mode0
1508376477796,1551,829,14,mode0
1508376477813,1555,802,14,mode0
1508376477830,1555,780,14,mode0
1508376477846,1541,749,14,mode0
1508376477863,1521,727,14,mode0
1508376477880,1492,711,14,mode0
1508376477897,1484,709,14,mode0
1508376477913,1444,707,14,mode0
1508376477929,1403,716,14,mode0
1508376477946,1319,750,14,mode0
1508376477963,1248,776,14,mode0
1508376477979,1140,815,14,mode0
1508376477996,1107,825,14,mode0
1508376478014,1001,853,14,mode0
1508376478030,985,856,14,mode0
1508376478046,961,862,14,mode0
1508376478063,961,862,14,mode0
1508376478080,961,862,14,mode0
1508376478097,961,862,14,mode0
1508376478113,961,862,14,mode0
1508376478130,961,862,14,mode0
1508376478146,961,861,14,mode0
1508376478162,961,861,14,mode0
1508376478180,961,861,14,mode0
1508376478196,961,861,14,mode0
1508376478213,961,861,14,mode0
1508376478230,961,861,14,mode0
1508376478246,961,861,14,mode0
1508376478263,961,861,14,mode0
1508376478279,961,861,14,mode0
1508376478296,961,861,14,mode0
